% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.098800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.122266195e+07 +1.122245207e+07 +1.122245207e+07 -1.3415e+00 +3.8878e+00
3 0 +1.867149252e+06 +1.866939372e+06 +1.866939372e+06 +7.9121e-01 -8.1422e-01
10 0 +6.976244519e+05 +6.974145719e+05 +6.974145719e+05 +1.2914e+00 -4.3095e-01
11 0 +4.976711782e+05 +4.974612982e+05 +4.974612982e+05 +7.9295e-01 -3.1965e-01
12 0 +2.190554664e+05 +2.188455864e+05 +2.188455864e+05 +2.1536e+00 -1.5513e-02
17 0 +2.067394106e+04 +2.046406106e+04 +2.046406106e+04 +1.2918e+00 +5.9749e-01
23 0 +3.410725021e+03 +3.200845021e+03 +3.200845021e+03 +9.0059e-01 +5.0166e-01
26 0 +4.093138382e+01 -1.689486162e+02 -1.689486162e+02 +2.3076e+00 +4.4152e-01
317 0 +1.554791715e+01 -1.943320828e+02 -1.943320828e+02 -1.5862e+00 +4.4513e-01
568 0 +1.364377334e+01 -1.962362267e+02 -1.962362267e+02 -1.7004e+00 +4.4553e-01
810 0 +1.284089296e+01 -1.970391070e+02 -1.970391070e+02 -1.3351e+00 +4.5078e-01
888 0 +2.098595093e+00 -2.077814049e+02 -2.077814049e+02 -1.1430e-01 +4.4785e-01
1090 0 +1.596682068e+00 -2.082833179e+02 -2.082833179e+02 +2.3534e+00 +4.4815e-01
4100 0 +1.597189715e-01 -2.097202810e+02 -2.097202810e+02 +1.5962e+00 +4.4815e-01
59373 0 +2.059629871e-02 -2.098594037e+02 -2.098594037e+02 +1.3299e+00 +4.4792e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.209000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.298198274e+05 +1.297277374e+05 +1.297277374e+05 -3.5310e-01 +2.9904e+00
11 0 +2.399514696e+04 +2.390305696e+04 +2.390305696e+04 -4.8234e+00 +2.4758e+00
25 0 +2.191867407e+04 +2.182658407e+04 +2.182658407e+04 -6.4005e+00 +2.7746e+00
26 0 +1.199443902e+04 +1.190234902e+04 +1.190234902e+04 +6.1119e-01 +2.7235e+00
35 0 +2.495661374e+03 +2.403571374e+03 +2.403571374e+03 -3.4047e+00 +2.6680e+00
37 0 +1.023340078e+03 +9.312500779e+02 +9.312500779e+02 -2.8951e+00 +2.5909e+00
44 0 +5.114471866e+02 +4.193571866e+02 +4.193571866e+02 -4.8913e+00 +2.5994e+00
58 0 +4.041847544e+01 -5.167152456e+01 -5.167152456e+01 -3.8459e+00 +2.6257e+00
185 0 +2.675640623e+01 -6.533359377e+01 -6.533359377e+01 +1.7966e+00 +2.6264e+00
279 0 +1.816382778e+01 -7.392617222e+01 -7.392617222e+01 +4.8090e+00 +2.6204e+00
364 0 +5.282882248e-01 -9.156171178e+01 -9.156171178e+01 +1.3750e+00 +2.6218e+00
2025 0 +1.575754865e-01 -9.193242451e+01 -9.193242451e+01 +6.4918e-01 +2.6212e+00
30664 0 +2.838462956e-02 -9.206161537e+01 -9.206161537e+01 +6.0161e-01 +2.6217e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-8.789000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.347476156e+07 +4.347467367e+07 +4.347467367e+07 -9.1349e-01 -3.3495e+00
2 0 +1.490982316e+05 +1.490103416e+05 +1.490103416e+05 +3.1269e-01 +3.2720e+00
10 0 +1.245096236e+05 +1.244217336e+05 +1.244217336e+05 +6.7724e-01 +4.0012e+00
25 0 +9.260913912e+04 +9.252124912e+04 +9.252124912e+04 +2.9735e+00 +3.9415e+00
45 0 +8.721501603e+03 +8.633611603e+03 +8.633611603e+03 +5.3566e+00 +3.7357e+00
61 0 +3.384183263e+03 +3.296293263e+03 +3.296293263e+03 +8.4425e+00 +3.5854e+00
66 0 +1.005168476e+03 +9.172784758e+02 +9.172784758e+02 +8.7678e+00 +3.6780e+00
81 0 +6.010496395e+02 +5.131596395e+02 +5.131596395e+02 +1.1888e+01 +3.6238e+00
95 0 +1.337066206e+02 +4.581662061e+01 +4.581662061e+01 +1.1624e+01 +3.6427e+00
121 0 +1.215448861e+02 +3.365488606e+01 +3.365488606e+01 +1.1319e+01 +3.6429e+00
140 0 +1.185888608e+02 +3.069886080e+01 +3.069886080e+01 +1.1195e+01 +3.6427e+00
159 0 +1.144068272e+02 +2.651682719e+01 +2.651682719e+01 +1.1322e+01 +3.6458e+00
171 0 +1.105882900e+02 +2.269829001e+01 +2.269829001e+01 +1.1206e+01 +3.6456e+00
202 0 +1.091000820e+02 +2.121008202e+01 +2.121008202e+01 +1.1154e+01 +3.6452e+00
212 0 +1.057264091e+02 +1.783640908e+01 +1.783640908e+01 +1.1046e+01 +3.6455e+00
221 0 +1.024093849e+02 +1.451938493e+01 +1.451938493e+01 +1.0912e+01 +3.6463e+00
230 0 +9.520762785e+01 +7.317627846e+00 +7.317627846e+00 +1.0651e+01 +3.6455e+00
248 0 +8.917875280e+01 +1.288752795e+00 +1.288752795e+00 +1.0318e+01 +3.6445e+00
