% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.213120570e+01 -9.278687943e+02 -9.278687943e+02 -1.7943e-01 -6.7828e-01 +7.2494e-01 +3.3992e-01 +2.4550e+00 -1.5058e-01 +3.4639e+00 +1.8373e+00 +5.8446e-01 -1.2596e+00
5 0 +7.191039265e+01 -9.280896073e+02 -9.280896073e+02 +3.5016e+00 -2.3807e+00 -1.1576e+00 -6.8998e-01 -1.8910e+00 +1.1678e+00 +2.4332e+00 -1.1869e+00 +2.5605e-01 +2.5354e+00
15 0 +6.825088069e+01 -9.317491193e+02 -9.317491193e+02 +1.9838e-01 -6.6645e-01 -4.0434e-02 -7.3577e-01 +2.4876e+00 -1.5277e+00 +2.1921e+00 +1.1661e+00 +2.1939e+00 -2.7896e-01
21 0 +6.393414551e+01 -9.360658545e+02 -9.360658545e+02 +2.4514e+00 +5.4667e-01 -1.4304e+00 +4.2550e+00 +1.1437e+00 +1.1731e+00 +7.9108e-01 +3.4894e+00 +9.7658e-01 -1.3433e+00
28 0 +5.764560650e+01 -9.423543935e+02 -9.423543935e+02 +1.7868e+00 +2.9143e-01 +7.6950e-01 +1.8346e+00 +3.8455e+00 -1.7273e+00 +1.1129e+00 +5.8754e-01 +3.0875e+00 -2.4197e+00
38 0 +4.810986132e+01 -9.518901387e+02 -9.518901387e+02 +3.4717e+00 +7.2098e-01 -1.7828e+00 +5.2321e+00 +3.1295e+00 -2.2182e-02 +2.8331e+00 +2.7842e+00 +4.9821e+00 -2.1713e-01
68 0 +4.039167227e+01 -9.596083277e+02 -9.596083277e+02 -8.0983e-02 -6.5223e-01 +9.2209e-01 +4.1913e+00 +2.2532e+00 -1.5483e-01 -1.2854e-01 +2.4105e+00 +4.4222e+00 -1.3964e+00
80 0 +1.658885268e+01 -9.834111473e+02 -9.834111473e+02 +2.1828e+00 +1.0031e+00 +4.4780e-01 +2.8176e+00 +4.3626e+00 +2.7030e-01 +1.5049e+00 +3.3532e+00 +3.0996e+00 -5.0058e-01
121 0 +7.260520485e+00 -9.927394795e+02 -9.927394795e+02 +1.9100e+00 -2.1895e-01 +4.0652e-01 +3.1119e+00 +3.3687e+00 -1.2154e+00 +6.5712e-01 +3.3978e+00 +2.8880e+00 +1.8102e+00
132 0 +6.977359195e+00 -9.930226408e+02 -9.930226408e+02 +1.0948e+00 +1.0697e+00 -1.1044e-01 +2.4146e+00 +3.8729e+00 -1.2666e+00 +6.4191e-01 +3.3829e+00 +3.6086e+00 +5.9779e-01
